start	professor	discipline	auditorium	group
2021-01-26T15:00:00	40	10	15	1
2021-01-26T15:00:00	37	1	2	4
2021-01-26T15:00:00	33	7	11	9
2021-01-26T15:00:00	25	3	1	25
2021-01-26T15:00:00	8	11	12	7
2021-01-26T15:00:00	13	11	3	16
2021-01-26T15:00:00	52	12	7	12
2021-01-26T15:00:00	55	5	16	21
2021-01-26T15:00:00	10	9	20	23
2021-01-26T15:00:00	56	7	6	18
2021-01-26T15:00:00	28	6	17	24
2021-01-26T15:00:00	15	8	13	6
2021-01-27T09:00:00	54	10	9	3
2021-01-27T09:00:00	11	9	19	1
2021-01-27T09:00:00	37	4	4	24
2021-01-27T09:00:00	18	1	13	11
2021-01-27T09:00:00	35	1	10	7
2021-01-27T09:00:00	31	7	11	12
2021-01-27T09:00:00	59	4	14	2
2021-01-27T09:00:00	29	10	8	15
2021-01-27T09:00:00	2	12	7	21
2021-01-27T09:00:00	50	9	6	13
2021-01-27T09:00:00	24	11	17	14
2021-01-27T09:00:00	1	9	2	18
2021-01-27T09:00:00	44	9	5	25
2021-01-27T09:00:00	21	2	15	8
2021-01-27T09:00:00	17	6	12	5
2021-01-27T09:00:00	28	6	20	19
2021-01-27T09:00:00	9	11	18	17
2021-01-27T09:00:00	57	10	16	4
2021-01-27T09:00:00	56	3	1	23
2021-01-27T09:00:00	14	12	3	10
2021-01-27T11:00:00	56	3	9	7
2021-01-27T11:00:00	15	10	3	22
2021-01-27T11:00:00	57	12	20	1
2021-01-27T11:00:00	12	6	10	24
2021-01-27T11:00:00	16	9	14	2
2021-01-27T11:00:00	60	9	4	25
2021-01-27T11:00:00	18	1	12	19
2021-01-27T11:00:00	51	4	7	4
2021-01-27T11:00:00	55	2	18	13
2021-01-27T11:00:00	21	2	11	5
2021-01-27T11:00:00	4	4	15	14
2021-01-27T11:00:00	28	6	13	11
2021-01-27T11:00:00	29	10	2	18
2021-01-27T11:00:00	1	9	5	8
2021-01-27T11:00:00	33	11	8	23
2021-01-27T11:00:00	34	8	19	3
2021-01-27T11:00:00	39	8	6	6
2021-01-27T11:00:00	11	9	16	21
2021-01-27T11:00:00	5	3	1	10
2021-01-27T11:00:00	27	6	17	16
2021-01-27T13:00:00	32	10	14	6
2021-01-27T13:00:00	9	11	18	2
2021-01-27T13:00:00	51	1	11	4
2021-01-27T13:00:00	59	2	6	14
2021-01-27T13:00:00	21	11	17	10
2021-01-27T13:00:00	47	6	19	12
2021-01-27T13:00:00	10	12	8	25
2021-01-27T13:00:00	56	3	7	13
2021-01-27T13:00:00	34	8	10	1
2021-01-27T13:00:00	38	6	12	8
2021-01-27T13:00:00	31	5	2	21
2021-01-27T13:00:00	48	11	20	23
2021-01-27T13:00:00	40	10	9	17
2021-01-27T13:00:00	45	7	5	7
2021-01-27T13:00:00	37	1	16	15
2021-01-27T13:00:00	3	2	4	16
2021-01-27T13:00:00	13	11	13	22
2021-01-27T13:00:00	46	7	1	18
2021-01-27T13:00:00	1	9	15	9
2021-01-27T13:00:00	35	1	3	11
2021-01-27T15:00:00	52	11	13	11
2021-01-27T15:00:00	59	2	16	22
2021-01-27T15:00:00	25	2	9	3
2021-01-27T15:00:00	23	1	8	21
2021-01-27T15:00:00	19	5	3	25
2021-01-27T15:00:00	34	2	11	13
2021-01-27T15:00:00	20	8	14	20
2021-01-27T15:00:00	5	5	10	6
2021-01-27T15:00:00	27	8	17	18
2021-01-27T15:00:00	46	10	20	12
2021-01-27T15:00:00	28	6	5	1
2021-01-27T15:00:00	6	2	12	10
2021-01-27T15:00:00	1	9	2	16
2021-01-27T15:00:00	4	4	1	7
2021-01-27T15:00:00	22	5	6	8
2021-01-27T15:00:00	31	5	7	14
2021-01-27T15:00:00	24	8	4	19
2021-01-27T15:00:00	49	8	19	24
2021-01-27T15:00:00	36	6	15	9
2021-01-27T15:00:00	7	6	18	15
2021-01-28T09:00:00	4	4	13	2
2021-01-28T09:00:00	29	10	18	22
2021-01-28T09:00:00	31	12	12	11
2021-01-28T09:00:00	23	1	1	24
2021-01-28T09:00:00	19	5	6	20
2021-01-28T09:00:00	33	11	5	13
2021-01-28T09:00:00	53	8	4	7
2021-01-28T09:00:00	1	9	8	21
2021-01-28T09:00:00	55	2	20	14
2021-01-28T09:00:00	8	11	7	6
2021-01-28T09:00:00	43	8	10	23
2021-01-28T09:00:00	30	5	11	18
2021-01-28T09:00:00	52	11	3	5
2021-01-28T09:00:00	13	11	2	19
2021-01-28T09:00:00	14	12	15	8
2021-01-28T09:00:00	51	4	9	25
2021-01-28T09:00:00	38	6	16	15
2021-01-28T09:00:00	15	2	14	4
2021-01-28T09:00:00	57	12	19	10
2021-01-28T09:00:00	39	6	17	12
2021-01-28T11:00:00	23	1	11	3
2021-01-28T11:00:00	33	8	5	14
2021-01-28T11:00:00	7	6	7	8
2021-01-28T11:00:00	31	5	10	15
2021-01-28T11:00:00	28	6	18	1
2021-01-28T11:00:00	49	1	13	6
2021-01-28T11:00:00	36	6	15	16
2021-01-28T11:00:00	10	9	9	10
2021-01-28T11:00:00	53	8	8	9
2021-01-28T11:00:00	20	8	19	5
2021-01-28T11:00:00	37	4	12	11
2021-01-28T11:00:00	48	11	1	4
2021-01-28T11:00:00	29	11	6	24
2021-01-28T11:00:00	39	6	3	17
2021-01-28T11:00:00	50	9	4	23
2021-01-28T11:00:00	15	10	16	21
2021-01-28T11:00:00	45	7	17	13
2021-01-28T11:00:00	13	2	14	18
2021-01-28T11:00:00	12	10	2	19
2021-01-28T11:00:00	2	12	20	22
2021-01-28T13:00:00	60	1	20	16
2021-01-28T13:00:00	29	11	15	17
2021-01-28T13:00:00	56	3	4	10
2021-01-28T13:00:00	51	1	9	7
2021-01-28T13:00:00	16	3	1	20
2021-01-28T13:00:00	21	2	13	8
2021-01-28T13:00:00	59	7	10	12
2021-01-28T13:00:00	26	9	3	2
2021-01-28T13:00:00	6	2	18	18
2021-01-28T13:00:00	31	5	11	1
2021-01-28T13:00:00	3	2	19	9
2021-01-28T13:00:00	17	6	17	13
2021-01-28T13:00:00	10	12	7	21
2021-01-28T13:00:00	19	5	12	19
2021-01-28T13:00:00	27	6	6	24
2021-01-28T13:00:00	48	11	8	5
2021-01-28T13:00:00	58	9	5	15
2021-01-28T13:00:00	5	5	16	25
2021-01-28T13:00:00	30	5	2	3
2021-01-28T13:00:00	20	8	14	23
2021-01-28T15:00:00	48	11	11	11
2021-01-28T15:00:00	59	7	16	4
2021-01-28T15:00:00	49	6	5	25
2021-01-28T15:00:00	3	2	20	19
2021-01-28T15:00:00	54	12	7	1
2021-01-28T15:00:00	11	9	14	16
2021-01-28T15:00:00	5	5	12	21
2021-01-28T15:00:00	14	12	18	13
2021-01-28T15:00:00	13	11	6	3
2021-01-28T15:00:00	58	11	10	2
2021-01-28T15:00:00	35	2	4	22
2021-01-28T15:00:00	32	8	2	23
2021-01-28T15:00:00	8	11	17	8
2021-01-28T15:00:00	38	6	15	24
2021-01-28T15:00:00	43	8	19	5
2021-01-28T15:00:00	16	9	1	18
2021-01-28T15:00:00	21	2	9	9
2021-01-28T15:00:00	12	10	3	15
2021-01-28T15:00:00	44	12	8	14
2021-01-28T15:00:00	1	9	13	17
2021-01-29T09:00:00	29	10	10	24
2021-01-29T09:00:00	30	5	19	1
2021-01-29T09:00:00	39	6	2	23
2021-01-29T09:00:00	32	10	15	9
2021-01-29T09:00:00	15	2	12	10
2021-01-29T09:00:00	28	6	6	21
2021-01-29T09:00:00	21	2	8	17
2021-01-29T09:00:00	52	12	16	16
2021-01-29T09:00:00	24	11	11	8
2021-01-29T09:00:00	11	9	20	3
2021-01-29T09:00:00	49	1	18	6
2021-01-29T09:00:00	4	4	5	22
2021-01-29T09:00:00	31	12	1	20
2021-01-29T09:00:00	60	8	13	12
2021-01-29T09:00:00	37	1	7	18
2021-01-29T09:00:00	43	8	9	11
2021-01-29T09:00:00	44	5	4	14
2021-01-29T09:00:00	59	2	17	5
2021-01-29T09:00:00	6	2	14	25
2021-01-29T09:00:00	19	5	3	15
2021-01-29T11:00:00	42	7	19	24
2021-01-29T11:00:00	43	11	5	25
2021-01-29T11:00:00	11	10	7	6
2021-01-29T11:00:00	16	9	11	21
2021-01-29T11:00:00	44	9	20	5
2021-01-29T11:00:00	53	8	16	4
2021-01-29T11:00:00	41	9	1	10
2021-01-29T11:00:00	59	4	2	14
2021-01-29T11:00:00	34	2	6	8
2021-01-29T11:00:00	50	9	3	17
2021-01-29T11:00:00	23	1	14	23
2021-01-29T11:00:00	24	5	17	11
2021-01-29T11:00:00	18	1	12	1
2021-01-29T11:00:00	8	11	9	3
2021-01-29T11:00:00	54	12	4	7
2021-01-29T11:00:00	55	2	18	2
2021-01-29T11:00:00	33	11	15	12
2021-01-29T11:00:00	7	9	10	20
2021-01-29T11:00:00	29	10	8	19
2021-01-29T11:00:00	52	11	13	16
2021-01-29T13:00:00	32	6	6	8
2021-01-29T13:00:00	56	7	9	15
2021-01-29T13:00:00	19	5	20	20
2021-01-29T13:00:00	42	7	3	2
2021-01-29T13:00:00	20	2	16	3
2021-01-29T13:00:00	44	5	17	22
2021-01-29T13:00:00	13	11	11	4
2021-01-29T13:00:00	58	9	14	13
2021-01-29T13:00:00	54	10	10	25
2021-01-29T13:00:00	33	8	13	14
2021-01-29T13:00:00	22	5	18	7
2021-01-29T13:00:00	29	11	12	19
2021-01-29T13:00:00	47	8	8	17
2021-01-29T13:00:00	17	6	5	1
2021-01-29T13:00:00	49	6	4	6
2021-01-29T13:00:00	27	6	1	9
2021-01-29T13:00:00	60	9	19	12
2021-01-29T13:00:00	24	5	7	24
2021-01-29T13:00:00	11	10	2	16
2021-01-29T13:00:00	30	5	15	23
2021-01-29T15:00:00	38	6	19	1
2021-01-29T15:00:00	34	8	11	3
2021-01-29T15:00:00	9	11	12	2
2021-01-29T15:00:00	58	11	4	24
2021-01-29T15:00:00	15	8	15	13
2021-01-29T15:00:00	28	6	2	11
2021-01-29T15:00:00	52	11	5	8
2021-01-29T15:00:00	12	10	9	22
2021-01-29T15:00:00	29	10	17	10
2021-01-29T15:00:00	39	8	6	20
2021-01-29T15:00:00	2	12	7	18
2021-01-29T15:00:00	59	4	3	5
2021-01-29T15:00:00	49	1	10	4
2021-01-29T15:00:00	18	1	18	19
2021-01-29T15:00:00	16	3	16	9
2021-01-29T15:00:00	57	12	13	6
2021-01-29T15:00:00	54	10	1	12
2021-01-29T15:00:00	37	4	14	21
2021-01-29T15:00:00	11	9	20	15
2021-01-29T15:00:00	22	5	8	7
2021-02-01T09:00:00	25	2	9	17
2021-02-01T09:00:00	49	6	10	2
2021-02-01T09:00:00	35	1	18	11
2021-02-01T09:00:00	29	11	7	18
2021-02-01T09:00:00	47	9	11	14
2021-02-01T09:00:00	56	3	15	19
2021-02-01T09:00:00	4	4	4	6
2021-02-01T09:00:00	1	9	12	23
2021-02-01T09:00:00	33	7	17	13
2021-02-01T09:00:00	54	10	20	12
2021-02-01T09:00:00	8	11	5	4
2021-02-01T09:00:00	5	5	8	22
2021-02-01T09:00:00	30	10	2	3
2021-02-01T09:00:00	12	6	3	21
2021-02-01T09:00:00	42	7	13	9
2021-02-01T09:00:00	17	6	1	15
2021-02-01T09:00:00	15	2	19	20
2021-02-01T09:00:00	46	7	16	5
2021-02-01T09:00:00	11	10	14	10
2021-02-01T09:00:00	23	1	6	7
2021-02-01T11:00:00	56	3	11	24
2021-02-01T11:00:00	30	10	18	3
2021-02-01T11:00:00	48	11	15	15
2021-02-01T11:00:00	38	6	12	2
2021-02-01T11:00:00	57	10	9	12
2021-02-01T11:00:00	52	12	4	13
2021-02-01T11:00:00	58	2	5	1
2021-02-01T11:00:00	13	2	17	4
2021-02-01T11:00:00	59	2	14	6
2021-02-01T11:00:00	23	1	20	22
2021-02-01T11:00:00	46	10	19	9
2021-02-01T11:00:00	54	12	7	14
2021-02-01T11:00:00	11	10	8	25
2021-02-01T11:00:00	47	9	13	8
2021-02-01T11:00:00	60	1	1	23
2021-02-01T11:00:00	12	7	2	19
2021-02-01T11:00:00	44	9	10	11
2021-02-01T11:00:00	28	6	16	20
2021-02-01T11:00:00	40	10	3	18
2021-02-01T11:00:00	50	6	6	7
2021-02-01T13:00:00	3	2	14	19
2021-02-01T13:00:00	17	6	4	6
2021-02-01T13:00:00	53	8	13	10
2021-02-01T13:00:00	29	10	8	11
2021-02-01T13:00:00	28	6	9	9
2021-02-01T13:00:00	14	12	1	3
2021-02-01T13:00:00	19	5	16	17
2021-02-01T13:00:00	51	4	19	14
2021-02-01T13:00:00	25	2	20	15
2021-02-01T13:00:00	7	1	17	1
2021-02-01T13:00:00	46	7	2	25
2021-02-01T13:00:00	57	10	7	23
2021-02-01T13:00:00	54	5	12	2
2021-02-01T13:00:00	5	5	5	21
2021-02-01T13:00:00	42	7	3	16
2021-02-01T13:00:00	41	9	15	18
2021-02-01T13:00:00	34	2	6	24
2021-02-01T13:00:00	35	2	10	13
2021-02-01T13:00:00	40	10	18	7
2021-02-01T13:00:00	20	8	11	4
2021-02-01T15:00:00	50	9	19	1
2021-02-01T15:00:00	19	5	18	24
2021-02-01T15:00:00	21	11	15	21
2021-02-01T15:00:00	26	10	5	12
2021-02-01T15:00:00	9	11	6	7
2021-02-01T15:00:00	42	7	11	25
2021-02-01T15:00:00	48	11	7	5
2021-02-01T15:00:00	58	2	10	22
2021-02-01T15:00:00	1	9	3	9
2021-02-01T15:00:00	46	7	20	19
2021-02-01T15:00:00	53	8	14	13
2021-02-01T15:00:00	49	6	13	15
2021-02-01T15:00:00	60	8	4	2
2021-02-01T15:00:00	18	1	16	17
2021-02-01T15:00:00	34	2	12	4
2021-02-01T15:00:00	51	4	1	3
2021-02-01T15:00:00	47	6	17	18
2021-02-01T15:00:00	8	11	9	11
2021-02-01T15:00:00	22	5	8	10
2021-02-01T15:00:00	56	7	2	8
2021-02-02T09:00:00	43	8	1	9
2021-02-02T09:00:00	53	8	12	17
2021-02-02T09:00:00	45	7	3	14
2021-02-02T09:00:00	5	3	4	2
2021-02-02T09:00:00	8	11	17	19
2021-02-02T09:00:00	30	5	13	23
2021-02-02T09:00:00	26	10	16	8
2021-02-02T09:00:00	55	2	14	18
2021-02-02T09:00:00	42	7	7	13
2021-02-02T09:00:00	48	11	2	24
2021-02-02T09:00:00	59	7	20	21
2021-02-02T09:00:00	22	5	19	5
2021-02-02T09:00:00	11	10	5	3
2021-02-02T09:00:00	17	6	10	16
2021-02-02T09:00:00	24	11	6	10
2021-02-02T09:00:00	3	2	9	4
2021-02-02T09:00:00	47	9	15	12
2021-02-02T09:00:00	19	5	18	25
2021-02-02T09:00:00	51	1	11	22
2021-02-02T09:00:00	23	1	8	20
2021-02-02T11:00:00	48	11	14	18
2021-02-02T11:00:00	21	11	16	19
2021-02-02T11:00:00	16	9	10	23
2021-02-02T11:00:00	43	11	19	20
2021-02-02T11:00:00	55	9	20	7
2021-02-02T11:00:00	17	6	2	1
2021-02-02T11:00:00	38	6	7	21
2021-02-02T11:00:00	40	10	1	16
2021-02-02T11:00:00	4	4	11	3
2021-02-02T11:00:00	46	7	9	17
2021-02-02T11:00:00	26	10	17	8
2021-02-02T11:00:00	9	11	6	5
2021-02-02T11:00:00	12	10	15	10
2021-02-02T11:00:00	8	11	4	2
2021-02-02T11:00:00	23	1	18	15
2021-02-02T11:00:00	3	2	3	9
2021-02-02T11:00:00	19	5	5	12
2021-02-02T11:00:00	7	1	13	25
2021-02-02T11:00:00	1	9	8	4
2021-02-02T11:00:00	27	7	12	14
2021-02-02T13:00:00	36	12	7	20
2021-02-02T13:00:00	37	6	8	6
2021-02-02T13:00:00	12	10	13	15
2021-02-02T13:00:00	44	12	5	16
2021-02-02T13:00:00	29	10	15	21
2021-02-02T13:00:00	10	12	18	14
2021-02-02T13:00:00	18	1	2	13
2021-02-02T13:00:00	24	5	3	22
2021-02-02T13:00:00	40	10	14	10
2021-02-02T13:00:00	2	12	20	2
2021-02-02T13:00:00	50	6	19	1
2021-02-02T13:00:00	55	9	4	5
2021-02-02T13:00:00	22	5	6	19
2021-02-02T13:00:00	49	8	17	18
2021-02-02T13:00:00	25	3	10	23
2021-02-02T13:00:00	41	9	9	11
2021-02-02T13:00:00	53	8	1	7
2021-02-02T13:00:00	46	7	16	9
2021-02-02T13:00:00	60	8	12	4
2021-02-02T13:00:00	33	11	11	12
2021-02-02T15:00:00	14	12	8	8
2021-02-02T15:00:00	41	9	13	7
2021-02-02T15:00:00	13	6	5	14
2021-02-02T15:00:00	27	6	2	4
2021-02-02T15:00:00	52	11	12	3
2021-02-02T15:00:00	8	11	9	10
2021-02-02T15:00:00	47	9	10	1
2021-02-02T15:00:00	53	8	18	22
2021-02-02T15:00:00	32	8	1	9
2021-02-02T15:00:00	11	10	6	11
2021-02-02T15:00:00	29	10	7	21
2021-02-02T15:00:00	24	8	20	24
2021-02-02T15:00:00	5	3	16	20
2021-02-02T15:00:00	48	11	17	2
2021-02-02T15:00:00	50	9	15	15
2021-02-02T15:00:00	15	10	14	12
2021-02-02T15:00:00	54	12	4	25
2021-02-02T15:00:00	45	8	3	6
2021-02-02T15:00:00	33	11	11	5
2021-02-02T15:00:00	9	11	19	23
2021-02-03T09:00:00	13	2	12	2
2021-02-03T09:00:00	57	12	8	23
2021-02-03T09:00:00	43	11	17	3
2021-02-03T09:00:00	34	8	7	5
2021-02-03T09:00:00	24	11	10	14
2021-02-03T09:00:00	15	8	4	4
2021-02-03T09:00:00	39	6	6	7
2021-02-03T09:00:00	16	9	16	13
2021-02-03T09:00:00	27	6	18	18
2021-02-03T09:00:00	45	8	2	11
2021-02-03T09:00:00	40	10	3	22
2021-02-03T09:00:00	29	10	5	1
2021-02-03T09:00:00	11	10	9	17
2021-02-03T09:00:00	54	10	20	21
2021-02-03T09:00:00	31	7	13	15
2021-02-03T09:00:00	36	12	14	25
2021-02-03T09:00:00	7	9	19	6
2021-02-03T09:00:00	9	11	1	19
2021-02-03T09:00:00	25	8	11	16
2021-02-03T09:00:00	22	5	15	9
2021-02-03T11:00:00	44	12	12	16
2021-02-03T11:00:00	56	7	20	10
2021-02-03T11:00:00	41	9	4	1
2021-02-03T11:00:00	54	5	8	18
2021-02-03T11:00:00	52	12	18	20
2021-02-03T11:00:00	17	6	11	21
2021-02-03T11:00:00	59	7	10	17
2021-02-03T11:00:00	48	11	1	24
2021-02-03T11:00:00	14	12	19	13
2021-02-03T11:00:00	31	12	6	9
2021-02-03T11:00:00	37	6	5	15
2021-02-03T11:00:00	39	6	16	5
2021-02-03T11:00:00	58	11	9	2
2021-02-03T11:00:00	43	11	15	3
2021-02-03T11:00:00	45	7	13	7
2021-02-03T11:00:00	13	2	7	22
2021-02-03T11:00:00	2	12	14	25
2021-02-03T11:00:00	1	9	3	6
2021-02-03T11:00:00	57	10	17	8
2021-02-03T11:00:00	27	7	2	4
2021-02-03T13:00:00	26	10	6	8
2021-02-03T13:00:00	22	5	18	25
2021-02-03T13:00:00	8	11	19	3
2021-02-03T13:00:00	28	6	16	18
2021-02-03T13:00:00	46	10	9	1
2021-02-03T13:00:00	59	2	10	13
2021-02-03T13:00:00	33	7	14	5
2021-02-03T13:00:00	5	5	2	7
2021-02-03T13:00:00	7	9	12	15
2021-02-03T13:00:00	29	11	5	23
2021-02-03T13:00:00	44	12	13	12
2021-02-03T13:00:00	12	7	17	16
2021-02-03T13:00:00	10	6	11	10
2021-02-03T13:00:00	31	5	7	21
2021-02-03T13:00:00	13	6	1	6
2021-02-03T13:00:00	21	2	8	19
2021-02-03T13:00:00	51	4	15	20
2021-02-03T13:00:00	16	9	20	22
2021-02-03T13:00:00	49	8	3	4
2021-02-03T13:00:00	18	1	4	14
2021-02-03T15:00:00	50	12	3	11
2021-02-03T15:00:00	55	5	20	21
2021-02-03T15:00:00	28	6	5	13
2021-02-03T15:00:00	37	4	17	14
2021-02-03T15:00:00	32	8	15	24
2021-02-03T15:00:00	9	11	7	4
2021-02-03T15:00:00	23	1	19	20
2021-02-03T15:00:00	5	5	4	19
2021-02-03T15:00:00	24	5	8	16
2021-02-03T15:00:00	29	11	14	15
2021-02-03T15:00:00	22	5	10	25
2021-02-03T15:00:00	48	11	2	18
2021-02-03T15:00:00	31	12	11	12
2021-02-03T15:00:00	14	12	16	8
2021-02-03T15:00:00	12	6	18	7
2021-02-03T15:00:00	39	8	12	17
2021-02-03T15:00:00	46	10	1	9
2021-02-03T15:00:00	4	4	6	3
2021-02-03T15:00:00	33	11	13	6
2021-02-03T15:00:00	43	11	9	1
2021-02-04T09:00:00	8	11	2	3
2021-02-04T09:00:00	56	7	19	11
2021-02-04T09:00:00	39	8	5	7
2021-02-04T09:00:00	33	8	18	14
2021-02-04T09:00:00	18	1	13	10
2021-02-04T09:00:00	55	5	3	8
2021-02-04T09:00:00	14	12	15	22
2021-02-04T09:00:00	25	2	8	5
2021-02-04T09:00:00	4	4	12	24
2021-02-04T09:00:00	7	1	1	17
2021-02-04T09:00:00	29	11	16	25
2021-02-04T09:00:00	49	8	17	18
2021-02-04T09:00:00	2	12	10	19
2021-02-04T09:00:00	54	10	11	16
2021-02-04T09:00:00	51	1	4	23
2021-02-04T09:00:00	58	11	14	4
2021-02-04T09:00:00	41	9	6	6
2021-02-04T09:00:00	21	2	20	12
2021-02-04T09:00:00	23	1	9	13
2021-02-04T09:00:00	9	11	7	20
2021-02-04T11:00:00	3	2	5	23
2021-02-04T11:00:00	8	11	7	22
2021-02-04T11:00:00	48	11	16	24
2021-02-04T11:00:00	5	5	2	10
2021-02-04T11:00:00	22	5	17	16
